Date (GMT) | ID    | Username             | Nick                                | Daily XP's | Total XP | Daily Fines Earned ($) | Total Fines Earned ($) | Daily Playing Time (hours) | Total Playing Time (hours) | Daily Driven Distance (km) | Total Driven Distance (km) | Daily Time Spent Chasing (hours) | Total Time Spent Chasing (hours) | Daily Driven Distance Chasing (km) | Total Driven Distance Chasing (km) | Daily Time Spent Speed Trapping (minutes) | Total Time Spent Speed Trapping (minutes) | Daily Roadblocks Placed | Total Roadblocks Placed
2025-03-11 | 43573 | wampy                | [COP] Wampy™                        |        618 |   39,242 |                    875 |                122,859 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 39413 | baboulinet4          | Baboulinet [COP]                    |        458 |  139,944 |                    666 |                311,476 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43444 | slyvute              | [PACT]Traxy[COP]                    |        434 |   20,197 |                  1,378 |                 71,590 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 44109 | zoniix               | [COP] artzs                         |        347 |    7,570 |                    866 |                 22,242 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40107 | fronzy34             |                                     |        344 |  135,803 |                      0 |                312,724 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43674 | maxpower147          | [COP]MaxPower147                    |        331 |    6,435 |                    554 |                 20,888 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 22001 | lavezzi              | [COP]Panda                          |        314 |  160,424 |                      0 |                551,943 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 33219 | ines1                | [COP] KUTX                          |        312 |    2,669 |                  1,883 |                 15,100 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40877 | sametttpe            | dﾞ[COP]ﾏ`samet                      |        264 |  282,357 |                      0 |                841,656 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 44045 | sirac.54_            | [PACT]Muffin[COP]                   |        264 |   80,769 |                    281 |                366,605 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40818 | dmrzn                | [6S] Dmrzn [COP]                    |        233 |  129,770 |                  4,341 |                435,730 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 41889 | eymen75              | [COP] Emre Bulut                    |        190 |   19,681 |                  1,289 |                 67,087 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 32486 | x t                  | xт [COP]                            |        188 |  207,310 |                    183 |                488,191 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 16012 | tnt25                | [6S]Adamo[COP]                      |        158 |   77,111 |                    748 |                241,508 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 44099 | nexusmaniac          | RedﾉNexus [COP]                     |        150 |   17,769 |                    174 |                 47,284 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 23944 | madzen               |                                     |        150 |    9,109 |                    743 |                 52,931 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 45351 | mrconfidence         | [COP] WHITELINE                     |        145 |    4,841 |                    703 |                 20,473 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 26188 | rapidfiregaming      | RedﾉBas[COP]                        |        140 |   52,845 |                    925 |                169,505 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 42979 | firatrobert_07       | Robert [COP]                        |        136 |   60,030 |                    374 |                298,783 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 39608 | y a k u z            | 866¨yakuz[COP]                      |        116 |   47,803 |                    943 |                237,323 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40242 | astraxan             | [COP]Ekrem Imamoglu                 |        106 |   41,269 |                      0 |                223,159 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 33376 | krisar4321bg         |                                     |        105 |  104,372 |                    357 |                291,239 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 45440 | buntidondo           | [PACT]Ahmed[COP]                    |        102 |    8,388 |                    300 |                 16,984 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40408 | deagle762            |                                     |        102 |   98,581 |                      0 |                343,716 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 18845 | lukey747             | [TC]›Luke™‹[COP]                    |         96 |   74,693 |                    281 |                658,398 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 44145 | zolon                | zolon                               |         94 |   20,833 |                    243 |                108,704 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 42875 | posyda               | [COP] QS.Posyda                     |         80 |   38,834 |                    150 |                155,008 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 18089 | enesaky1             | [6S] dymZ [COP]                     |         70 |  169,630 |                    119 |                285,104 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40430 | gunther steiner      | RedﾉSteiner[COP]                    |         64 |  128,774 |                     35 |                292,438 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43185 | legenddarius         | [COP]Daniel                         |         58 |    6,520 |                      0 |                 29,394 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 31993 | aplastador200        | [COP] Aplazt                        |         56 |  161,024 |                      0 |                467,998 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 44123 | kaelo_fx             | [COP] SECRET SERVICE                |         30 |   21,784 |                    300 |                145,619 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 41544 | yasso7up             | tBug [COP]                          |          0 |   83,750 |                      0 |                352,428 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43598 | triple1              |                                     |          0 |   24,082 |                      0 |                 83,343 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 40866 | 01alperen001         | RDP•Ali[COP]                        |          0 |  157,399 |                    280 |                450,415 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 43214 | raion4545            |                                     |          0 |   41,417 |                      0 |                119,101 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
2025-03-11 | 29892 | xseap-on             | EmRﾞ99[COP]                         |          0 |   39,976 |                      0 |                147,292 |                          0 |                          0 |                          0 |                          0 |                                0 |                                0 |                                  0 |                                  0 |                                         0 |                                         0 |                       0 |                       0
